SampleID,StationID,Station_D,SampleDateTime,Latitude,Longitude,Depth,Temperature,Salinity,Sigma-T,Conductivity,Beam Attenuation,Chla Fluor,Dissolved Oxygen (Model 43),DO % Saturation,Air Irradiance,Water Irradiance,pH <2>,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,Data Source,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments
WN17307D,N18,N18-d,4/24/2017 12:39,42.36615753,-70.77783203,25.73091888,4.578128338,31.95435524,25.3064537,30.47436523,1.117394328,3.86686945,10.52004051,100.7426834,1784.504883,4.439223766,8.238447189,2177.536377,2050.583008,4.578128338,35.73091888,8.124069341,395.1995415,396.8397231,1931.690297,97.59535016,21.29737039,49.83552296,0.827609333,0,0,14.74268682,2.350603907,1.474922677,400.1235428,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN17307F,N18,N18-m,4/24/2017 12:41,42.36615753,-70.77783203,14.52954674,5.625674248,31.65966415,24.9583168,31.08547592,0.994604886,2.875660419,11.1854248,109.6536255,1608.150757,50.42772293,8.222947121,2153.885498,2031.873657,5.625674248,24.52954674,8.101599978,420.8266475,422.5490816,1915.033219,94.96233582,21.87812375,48.06712505,0.868583944,0,0,14.85987731,2.295233263,1.440781126,426.3134322,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN173081,N18,N18-s,4/24/2017 12:43,42.36615753,-70.77783203,1.640799761,7.66456461,31.06243896,24.2299881,32.23907852,0.935382545,0.570050418,11.62956524,119.1511993,1582.130005,1078.161133,8.310978889,2121.825684,1923.036987,7.66456461,11.64079952,8.280118373,267.2899196,268.3549209,1769.100951,140.9533011,12.98274242,69.23657505,1.586912619,0,0,11.72925472,3.42578506,2.152802093,271.1103988,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN17309D,F22,F22-d,4/24/2017 14:17,42.48033905,-70.61816406,76.60519409,4.205517769,32.62002563,25.87338257,30.75448227,1.653416872,0.649470031,10.39779282,99.102005,1733.052002,0.527693808,8.205704689,2215.341553,2073.373047,4.205517769,86.60519409,8.155306149,364.8091094,366.330689,1947.105815,106.4175042,19.84962765,54.53718221,0.870770064,0,0,14.17541718,2.52876331,1.589558282,369.2821935,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730A0,F22,F22-m,4/24/2017 14:21,42.48065948,-70.61816406,15.7682972,7.107953072,31.31001663,24.49955177,32.00936508,1.057608843,5.078681946,11.72519016,118.7774811,1655.000977,32.18852234,8.250529289,2136.289551,1962.150024,7.107953072,25.7682972,8.224273983,309.3122246,310.5537082,1821.046482,125.809373,15.29412596,62.30214664,1.32830275,0,0,12.60920998,3.045357757,1.913797501,313.6217317,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730A1,F22,F22-s,4/24/2017 14:23,42.48065948,-70.61832428,1.68141067,7.354936123,30.53878593,23.86042404,31.49292564,1.017981648,1.360006094,11.82439327,119.8733673,1658.806519,1192.415894,8.307887077,2083.551758,1906.693848,7.354936123,11.68141079,8.246365103,288.1371527,289.2898965,1765.792193,126.7124643,14.1891397,62.93173474,1.408749757,0,0,12.3607809,3.087850523,1.936639309,292.1983406,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730AB,N04,N04-d,4/24/2017 15:11,42.44450378,-70.73682404,47.19615936,4.05926466,32.36595154,25.68584061,30.40230751,1.080465317,1.767602205,10.49621391,99.51260376,1570.796631,0.617346942,8.207310677,2189.825439,2065.662842,4.05926466,57.19615936,8.11606815,400.4790387,402.1526515,1947.890104,95.83256853,21.94008806,49.50016661,0.777897879,0,0,14.90482503,2.293787134,1.440233085,405.3598386,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730AE,N04,N04-m,4/24/2017 15:15,42.44466019,-70.73717499,12.23484039,7.104727745,31.08830261,24.32553482,31.80036354,1.154035807,6.550050259,11.98737526,121.2498322,1309.802612,44.50166702,8.282197952,2122.194824,1947.742065,7.104727745,22.23484039,8.230363281,303.2243477,304.441448,1806.956187,125.7716785,15.01420655,62.36090855,1.340271927,0,0,12.56093835,3.050010024,1.915464836,307.4487818,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730AF,N04,N04-s,4/24/2017 15:16,42.44482803,-70.73731995,1.620494246,7.668432236,30.89370728,24.07699013,32.20366287,0.937324643,0.964091599,11.7899456,121.0713959,1373.173828,934.0078125,8.306001663,2116.758545,1917.662842,7.668432236,11.62049389,8.284046908,264.4056129,265.4590683,1763.660113,141.1491307,12.85355365,69.20901815,1.596506488,0,0,11.71043615,3.433570413,2.156683344,268.1857915,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
WN1730C7,F23,F23-d,4/24/2017 16:46,42.33899689,-70.94145966,25.26091003,8.495783806,30.58005905,23.73460197,32.48448944,2.28609705,1.818975449,10.69553852,111.3462524,2228.320313,0.659356713,8.307361603,2074.90332,1895.464355,8.495783806,35.26091003,8.235321149,297.4818509,298.6543125,1752.796325,128.5848251,14.08322445,63.40143585,1.541850518,0,0,12.20737338,3.119618176,1.960756623,301.9021445,N,ToRies_Labprocessed2017sharedSeaGlass,,,,,,,,,,
