Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/31/2022,08:09:31,0.0,SQ03,254.0,0.080,276.2,83.6,83.0,7.43,0.113,0.13,274.2,178,5.72,0,8.90,-121.5,21.128,0.091,89.99999,180.00000,99.9,2.88,12.1,764.1
10/31/2022,10:23:00,0.0,SQ03,49296.3,0.072,54907.7,97.3,96.6,7.14,0.105,36.08,54430.3,35380,209.27,0,7.77,-66.2,20.062,0.056,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:23:13,0.0,SQ03,49321.3,0.072,54938.7,97.3,96.6,7.14,0.105,36.11,54460.8,35400,106.47,0,7.78,-66.6,20.059,0.053,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:23:23,0.0,SQ03,49349.6,0.072,54969.8,97.2,96.6,7.14,0.106,36.13,54491.7,35420,13.96,0,7.79,-67.1,20.059,0.088,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:23:50,0.0,SQ03,49416.4,0.072,54918.0,97.4,96.8,7.14,0.106,36.10,54448.8,35392,37.86,0,7.83,-69.4,20.161,0.085,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:23:58,0.0,SQ03,49436.6,0.072,54918.6,97.1,96.5,7.12,0.105,36.10,54451.0,35393,37.12,0,7.83,-69.4,20.178,0.067,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:24:12,0.0,SQ03,49373.3,0.072,54835.6,96.9,96.2,7.10,0.106,36.04,54369.5,35340,33.85,0,7.83,-69.5,20.189,0.082,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:24:32,0.0,SQ03,48797.8,0.072,54236.6,96.8,96.2,7.12,0.106,35.59,53772.9,34952,132.86,0,7.85,-70.6,20.157,0.069,89.99999,180.00000,99.9,2.87,12.1,763.5
10/31/2022,10:24:46,0.0,SQ03,49536.0,0.073,55008.8,96.9,96.2,7.09,0.107,36.17,54541.7,35452,40.45,0,7.85,-70.5,20.195,0.071,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:24:52,0.0,SQ03,49502.9,0.073,54966.5,96.8,96.2,7.09,0.106,36.14,54500.2,35425,43.15,0,7.85,-70.5,20.199,0.081,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:25:12,0.0,SQ03,49334.9,0.072,54993.1,96.7,96.0,7.10,0.105,36.14,54512.0,35433,48.04,0,7.87,-71.4,20.027,0.085,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:25:20,0.0,SQ03,49349.7,0.072,55033.3,96.9,96.3,7.12,0.105,36.17,54550.3,35458,49.04,0,7.87,-71.3,20.009,0.070,89.99999,180.00000,99.9,2.87,12.1,763.5
10/31/2022,10:25:27,0.0,SQ03,49354.1,0.071,55034.8,97.0,96.3,7.12,0.103,36.17,54552.1,35459,47.90,0,7.86,-71.2,20.011,0.052,89.99999,180.00000,99.9,2.87,12.1,763.6
10/31/2022,10:25:45,0.0,SQ03,49325.7,0.072,55039.9,97.1,96.5,7.14,0.105,36.18,54554.6,35460,140.20,0,7.87,-71.8,19.982,0.068,89.99999,180.00000,99.9,2.87,12.1,763.5
10/31/2022,10:25:52,0.0,SQ03,49310.2,0.072,55033.9,97.2,96.5,7.14,0.104,36.17,54547.9,35456,127.28,0,7.87,-71.7,19.973,0.068,89.99999,180.00000,99.9,2.87,12.1,763.4
10/31/2022,10:25:58,0.0,SQ03,49321.4,0.072,55036.0,97.2,96.5,7.14,0.105,36.17,54550.7,35458,112.83,0,7.87,-71.6,19.981,0.063,89.99999,180.00000,99.9,2.87,12.1,763.5
10/31/2022,10:50:18,0.0,SQ03,45954.9,0.071,51692.5,101.8,101.1,7.64,0.103,33.70,51209.2,33286,536.27,0,8.09,-84.0,19.628,0.060,89.99999,180.00000,99.9,2.87,12.1,763.4
10/31/2022,10:50:26,0.0,SQ03,45952.5,0.071,51683.4,101.8,101.1,7.64,0.103,33.69,51200.7,33280,537.46,0,8.09,-83.9,19.633,0.069,89.99999,180.00000,99.9,2.87,12.1,763.4
10/31/2022,10:50:38,0.0,SQ03,45928.8,0.070,51645.8,101.8,101.1,7.64,0.102,33.66,51164.1,33257,529.43,0,8.09,-83.8,19.643,0.065,89.99999,180.00000,99.9,2.87,12.1,763.5
10/31/2022,15:24:06,0.0,SQ03,41466.2,0.039,47059.2,111.4,110.6,8.59,0.057,30.32,46592.5,30285,976.95,0,7.65,-59.4,19.240,0.052,89.99999,180.00000,99.9,2.87,12.1,761.1
10/31/2022,15:24:24,0.0,SQ03,41228.2,0.039,46815.6,112.1,111.3,8.65,0.056,30.15,46349.6,30127,1015.85,0,7.65,-59.4,19.215,0.044,89.99999,180.00000,99.9,2.87,12.1,761.0
10/31/2022,15:24:32,0.0,SQ03,41195.9,0.039,46754.3,112.4,111.6,8.68,0.057,30.10,46290.5,30089,1015.87,0,7.65,-59.4,19.238,0.033,89.99999,180.00000,99.9,2.87,12.1,760.9
10/31/2022,15:56:09,0.0,SQ03,50239.2,0.037,55567.7,102.3,101.6,7.45,0.054,36.59,55111.2,35822,52.98,0,8.06,-82.4,20.372,0.056,89.99999,180.00000,99.9,2.87,12.1,760.8
10/31/2022,15:56:14,0.0,SQ03,50248.7,0.037,55575.6,102.4,101.7,7.45,0.054,36.60,55119.2,35827,60.17,0,8.06,-82.4,20.374,0.048,89.99999,180.00000,99.9,2.87,12.1,760.9
10/31/2022,15:56:20,0.0,SQ03,50248.8,0.037,55571.2,102.5,101.8,7.46,0.054,36.59,55115.1,35825,71.88,0,8.06,-82.4,20.377,0.029,89.99999,180.00000,99.9,2.87,12.1,760.8
10/31/2022,15:57:16,0.0,SQ03,50427.6,0.037,55015.1,102.8,102.1,7.41,0.054,36.22,54616.8,35501,75.74,0,8.03,-80.8,20.984,0.044,89.99999,180.00000,99.9,2.87,12.1,760.8
10/31/2022,15:57:21,0.0,SQ03,50411.5,0.038,55000.2,102.7,102.0,7.41,0.055,36.21,54601.8,35491,89.73,0,8.03,-80.6,20.982,0.027,89.99999,180.00000,99.9,2.87,12.1,760.7
10/31/2022,15:57:26,0.0,SQ03,50405.0,0.037,54993.9,102.6,101.9,7.40,0.054,36.20,54595.4,35487,106.69,0,8.02,-80.3,20.981,0.023,89.99999,180.00000,99.9,2.87,12.1,760.7
10/31/2022,15:58:04,0.0,SQ03,50345.3,0.034,55226.4,102.2,101.5,7.40,0.050,36.36,54804.8,35623,482.53,0,8.07,-82.5,20.740,0.021,89.99999,180.00000,99.9,2.87,12.1,760.7
