EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source,Air Irradiance,Water Irradiance,Station_D,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate
WN17206F,F13,2017-03-25 08:47:00-0400,42.26814651,-70.7361908,24.38497734,E,30.18341637,10.49488449,0.979537308,98.49427795,8.263752937,32.58441925,25.90439796,3.590593815,0.906005979,,MassBay_2017_to_2022,187.8233337,1.115529299,,,,,,,,,,,,,,,,,,,,
WN172071,F13,2017-03-25 08:48:00-0400,42.26804733,-70.73628998,11.95077991,C,30.06066322,10.57806969,1.372394323,99.02167511,8.270232201,32.53343964,25.87197876,3.501618862,0.98296231,,MassBay_2017_to_2022,218.8548279,14.21538353,,,,,,,,,,,,,,,,,,,,
WN172070,F13,2017-03-25 08:48:00-0400,42.26808929,-70.73622131,18.10972023,D,30.14003372,10.50120258,1.028224707,98.45623016,8.265861511,32.57252121,25.89828873,3.554068089,0.913581371,,MassBay_2017_to_2022,202.5517883,3.8918643,,,,,,,,,,,,,,,,,,,,
WN172073,F13,2017-03-25 08:49:00-0400,42.26788712,-70.7363205,1.362554669,A,30.02393532,10.63750839,1.52953732,99.50949097,8.276659012,32.51885223,25.86248207,3.477878094,0.999005318,,MassBay_2017_to_2022,244.2178497,157.2093658,,,,,,,,,,,,,,,,,,,,
WN172072,F13,2017-03-25 08:49:00-0400,42.26799011,-70.73631287,6.816116333,B,30.06221581,10.62396526,1.508383632,99.46907043,8.272381783,32.52985001,25.86833572,3.509758711,0.989705682,,MassBay_2017_to_2022,235.4970703,41.59090042,,,,,,,,,,,,,,,,,,,,
WN17207D,F06,2017-03-25 09:27:00-0400,42.1701889,-70.57740784,29.88004494,E,30.60886192,10.43605232,0.713603258,98.9704361,8.270452499,32.6947937,25.95471573,3.982405901,0.640293479,,MassBay_2017_to_2022,195.0422058,1.816808701,,,,,,,,,,,,,,,,,,,,
WN17207E,F06,2017-03-25 09:28:00-0400,42.17009735,-70.57749939,23.00399017,D,30.5435524,10.47515678,0.977858365,99.21180725,8.275509834,32.66623306,25.93638229,3.937283278,0.667970121,,MassBay_2017_to_2022,204.1990356,4.807755947,,,,,,,,,,,,,,,,,,,,
WN172080,F06,2017-03-25 09:29:00-0400,42.16978073,-70.57764435,7.790818214,B,30.48026657,10.52515221,1.033932805,99.55485535,8.280582428,32.6470108,25.92565536,3.889477253,0.682623386,,MassBay_2017_to_2022,213.1620789,40.63322067,,,,,,,,,,,,,,,,,,,,
WN17207F,F06,2017-03-25 09:29:00-0400,42.16992188,-70.57759857,15.17091751,C,30.51066971,10.51303959,1.012443185,99.50218201,8.27853775,32.65660477,25.9311409,3.912059784,0.676320791,,MassBay_2017_to_2022,212.580719,14.74092388,,,,,,,,,,,,,,,,,,,,
WN172081,F06,2017-03-25 09:30:00-0400,42.16964722,-70.5776825,1.330646157,A,30.43912506,10.53999424,1.059929013,99.61149597,8.285315514,32.63137817,25.91607094,3.859704733,0.693689167,,MassBay_2017_to_2022,219.6198273,117.8473969,,,,,,,,,,,,,,,,,,,,
WN17208B,F10,2017-03-25 09:57:00-0400,42.24196243,-70.63793182,34.50489044,E,30.62587357,10.40082455,0.881155014,98.69786835,8.273235321,32.68449402,25.94379616,4.010438919,0.655541956,,MassBay_2017_to_2022,316.1644287,1.135023713,,,,,,,,,,,,,,,,,,,,
WN17208C,F10,2017-03-25 09:58:00-0400,42.24177933,-70.63795471,25.91104317,D,30.43928909,10.50591087,0.963420033,99.2591095,8.280534744,32.63092422,25.91704178,3.847506285,0.714430869,,MassBay_2017_to_2022,316.818512,3.510666609,,,,,,,,,,,,,,,,,,,,
WN17208E,F10,2017-03-25 09:59:00-0400,42.24151611,-70.63806915,9.78375721,10,30.34794617,10.55861664,1.182345629,99.54676056,8.285028458,32.61066818,25.90848732,3.767751217,0.76238811,,MassBay_2017_to_2022,314.9289551,43.09807205,,,,,,,,,,,,,,,,,,,,
WN17208D,F10,2017-03-25 09:59:00-0400,42.24164581,-70.63802338,18.23156738,20,30.36121559,10.54964352,1.116197824,99.48414612,8.282320976,32.61398697,25.91040421,3.775782347,0.756079733,,MassBay_2017_to_2022,313.9357605,11.65870094,,,,,,,,,,,,,,,,,,,,
WN17208F,F10,2017-03-25 10:00:00-0400,42.24139786,-70.63815308,1.577212334,A,30.34587097,10.56751537,1.084970713,99.63681793,8.286227226,32.60974503,25.907444,3.770493746,0.760223031,,MassBay_2017_to_2022,314.2748413,170.5213928,,,,,,,,,,,,,,,,,,,,
WN172099,F15,2017-03-25 10:26:00-0400,42.31494904,-70.72838593,37.15395355,E,30.69119263,10.41986084,0.836832702,99.04443359,8.280450821,32.69523621,25.94590378,4.075540066,0.65289408,,MassBay_2017_to_2022,257.7835083,1.322965741,,,,,,,,,,,,,,,,,,,,
WN17209A,F15,2017-03-25 10:27:00-0400,42.31483841,-70.7284317,29.2707634,D,30.68717575,10.43578625,0.764305294,99.19526672,8.283844948,32.69465637,25.94539833,4.075469017,0.636097729,,MassBay_2017_to_2022,256.5723267,3.693484545,,,,,,,,,,,,,,,,,,,,
WN17209C,F15,2017-03-25 10:28:00-0400,42.31463623,-70.72855377,10.89192104,10,30.66886902,10.46522999,0.778072,99.45456696,8.28824234,32.68964386,25.94199181,4.068425179,0.629640043,,MassBay_2017_to_2022,256.2815857,36.70189667,,,,,,,,,,,,,,,,,,,,
