EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,LATITUDE,LONGITUDE,DEPTH (m),SAMPLE_DEPTH_CODE,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),VAL_QUAL,Data Source
WN221,F23,2022-02-10 07:22:00,42.34043503,-70.94098663,25.55214119,E,29.45826721,10.60667896,0.629186034,97.70806122,,32.41090393,25.82785416,2.893845797,1.230530381,,MassBay_2020_to_2022_CONCAT
WN221,F23,2022-02-10 07:23:00,42.34062958,-70.94081116,20.840271,D,29.34178543,10.62283993,0.697189629,97.59519958,,32.36696625,25.80063248,2.79938817,1.371715069,,MassBay_2020_to_2022_CONCAT
WN221,F23,2022-02-10 07:23:00,42.34071732,-70.94068909,15.77716541,C,29.19378662,10.66412449,0.784417987,97.65365601,,32.30278778,25.75859451,2.686712503,1.401992679,,MassBay_2020_to_2022_CONCAT
WN221,F23,2022-02-10 07:25:00,42.34069824,-70.94043732,9.819948196,B,28.96029091,10.72770405,1.046676874,97.81078339,,32.15258408,25.64908409,2.555409908,1.42219758,,MassBay_2020_to_2022_CONCAT
WN221,F23,2022-02-10 07:25:00,42.34074402,-70.94031525,1.360344887,A,28.09391403,10.85894966,2.312786341,97.5763092,,31.48583984,25.14575768,2.160259962,1.624291897,,MassBay_2020_to_2022_CONCAT
WN221,N01,2022-02-10 07:53:00,42.42040253,-70.86351776,29.44823837,E,30.41985703,10.25196743,0.514411867,96.81371307,,32.62319946,25.91257286,3.83033514,0.803475559,,MassBay_2020_to_2022_CONCAT
WN221,N01,2022-02-10 07:55:00,42.42063522,-70.86347961,21.5515461,D,30.57013321,10.39375019,0.578685343,98.6265564,,32.60617065,25.87953758,4.029782295,0.686500549,,MassBay_2020_to_2022_CONCAT
WN221,N01,2022-02-10 07:55:00,42.42074585,-70.86344147,13.60561943,B,30.50961304,10.41934109,0.647549868,98.71929169,,32.59791565,25.87875366,3.97045517,0.657283306,,MassBay_2020_to_2022_CONCAT
WN221,N01,2022-02-10 07:56:00,42.42084503,-70.86344147,8.098404884,C,30.50228882,10.42825127,0.592171311,98.79071808,,32.59725952,25.87870216,3.965307713,0.655914545,,MassBay_2020_to_2022_CONCAT
WN221,N01,2022-02-10 07:57:00,42.42095184,-70.86341858,1.476467729,A,30.47257233,10.44016361,0.58694607,98.83099365,,32.59441376,25.87922668,3.936355591,0.658869803,,MassBay_2020_to_2022_CONCAT
WN221,N04,2022-02-10 08:26:00,42.4451828,-70.73563385,48.00880814,E,31.12199783,10.16366673,0.457024813,97.79359436,,32.70278168,25.9012661,4.57022953,0.657512963,,MassBay_2020_to_2022_CONCAT
