STUDY_ID,EVENT_ID,STAT_ID,STAT_ARRIV,DEPTH_MARKER,ORDERED_DEPTH_CODE,SAMPLE_ID,PROFILE_DEPTH,SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,CONDTVY,DISS_OXYGEN,PCT_SAT,FLUORESCENCE,FLU_RAW,SAL,SIGMA_T,TEMP,TRANS,PH,LATITUDE,LONGITUDE,VAL_QUAL,Data Source
BWQM,WN171,F13,18-FEB-2017 08:06:09,A,A,WN171034,1.61,0.58,1.58,29.95,10.43,97.39,2.137,1.224,32.52,25.87,3.386,1.388,8.04,42.2694244,-70.732788,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,18-FEB-2017 08:06:09,B,B,WN171033,5.63,4.6,5.6,29.99,10.42,97.38,9.371,1.815,32.52,25.87,3.425,1.399,8.027,42.2693557,-70.7329025,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,18-FEB-2017 08:06:09,C,C,WN171032,11.0,9.96,10.96,30.15,10.36,97.19,6.48,1.673,32.55,25.88,3.592,1.341,8.001,42.2692832,-70.7330398,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,18-FEB-2017 08:06:09,D,D,WN171031,16.75,15.75,16.75,30.25,10.33,97.18,4.057,1.517,32.57,25.88,3.69,1.302,7.973,42.2692337,-70.7331695,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,18-FEB-2017 08:06:09,E,E,WN171030,22.79,21.84,22.84,30.36,10.31,97.26,3.527,1.476,32.59,25.89,3.794,1.258,7.922,42.2691574,-70.7333908,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,18-FEB-2017 09:01:59,A,A,WN171048,1.5,0.52,1.52,31.25,10.21,98.55,0.7567,0.8509,32.79,25.96,4.662,0.84,8.211,42.1713256,-70.5750656,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,18-FEB-2017 09:01:59,B,B,WN171047,7.02,6.0,7.0,31.23,10.2,98.36,3.901,1.505,32.79,25.96,4.628,0.8462,8.208,42.1712112,-70.5752334,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,18-FEB-2017 09:01:59,C,C,WN171046,15.12,14.1,15.1,31.22,10.2,98.27,3.724,1.492,32.79,25.96,4.614,0.8718,8.203,42.1711006,-70.5754089,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,18-FEB-2017 09:01:59,D,D,WN171045,23.08,22.08,23.08,31.19,10.2,98.17,3.015,1.432,32.78,25.96,4.58,0.8845,8.196,42.1710205,-70.5755691,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,18-FEB-2017 09:01:59,E,E,WN171044,30.57,29.52,30.52,31.2,10.19,98.17,2.973,1.429,32.78,25.96,4.586,0.8648,8.19,42.1709518,-70.5757293,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,18-FEB-2017 09:33:39,A,A,WN171056,1.64,0.7,1.7,31.08,10.22,98.17,4.282,0.6513,32.77,25.96,4.476,0.9973,8.222,42.2435111,-70.6367645,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,18-FEB-2017 09:33:39,B,B,WN171055,8.17,7.16,8.16,31.08,10.2,97.98,7.188,1.629,32.77,25.96,4.476,0.9833,8.22,42.243412,-70.6368713,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,18-FEB-2017 09:33:39,C,C,WN171054,15.07,14.16,15.16,31.09,10.18,97.79,4.738,1.566,32.77,25.96,4.478,1.028,8.215,42.2433395,-70.6369552,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,18-FEB-2017 09:33:39,D,D,WN171053,21.96,20.99,21.99,31.1,10.18,97.79,3.69,1.489,32.77,25.97,4.484,1.025,8.213,42.2432289,-70.6370468,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,18-FEB-2017 09:33:39,E,E,WN171052,27.67,26.78,27.78,31.11,10.18,97.79,3.185,1.447,32.77,25.96,4.493,1.035,8.21,42.2431449,-70.6371612,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F15,18-FEB-2017 10:05:36,A,A,WN171064,1.57,0.58,1.58,31.15,10.23,98.55,5.802,0.6528,32.72,25.91,4.613,0.8796,8.238,42.316082,-70.7281875,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F15,18-FEB-2017 10:05:36,B,B,WN171063,9.68,8.74,9.74,31.19,10.2,98.27,5.57,1.619,32.74,25.92,4.629,0.8581,8.238,42.3160362,-70.7282333,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F15,18-FEB-2017 10:05:36,C,C,WN171062,17.97,17.09,18.09,31.34,10.16,98.26,2.872,1.42,32.79,25.95,4.754,0.8439,8.233,42.3159637,-70.7282562,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F15,18-FEB-2017 10:05:36,D,D,WN171061,25.95,24.95,25.95,31.37,10.15,98.26,2.626,1.397,32.79,25.95,4.78,0.8319,8.231,42.3159217,-70.7282257,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F15,18-FEB-2017 10:05:36,E,E,WN171060,35.04,34.03,35.03,31.39,10.15,98.26,3.027,1.434,32.8,25.95,4.794,0.8361,8.227,42.3158645,-70.728157,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N07,18-FEB-2017 10:36:31,A,A,WN171073,1.65,0.58,1.58,31.64,10.05,98.05,4.919,0.6718,32.81,25.93,5.093,0.7173,8.225,42.357666,-70.7051849,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N07,18-FEB-2017 10:36:31,B,B,WN171072,13.37,12.34,13.34,31.62,10.04,97.86,2.77,1.41,32.81,25.93,5.063,0.778,8.223,42.3575439,-70.7052764,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N07,18-FEB-2017 10:36:31,C,C,WN171071,25.62,24.58,25.58,31.62,10.01,97.56,2.514,1.386,32.81,25.93,5.058,0.7833,8.221,42.3574218,-70.705368,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N07,18-FEB-2017 10:36:31,D,D,WN171070,35.81,34.88,35.88,31.61,10.0,97.37,1.658,1.296,32.81,25.93,5.046,0.778,8.219,42.3572998,-70.7055282,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N07,18-FEB-2017 10:36:31,E,E,WN17106F,47.12,46.09,47.09,31.6,10.01,97.47,1.85,1.317,32.81,25.93,5.028,0.7752,8.218,42.3571815,-70.7056579,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,N18,18-FEB-2017 11:08:11,A,A,WN171082,1.81,0.76,1.76,31.22,10.24,98.94,2.344,0.6354,32.65,25.84,4.759,0.827,8.225,42.3667144,-70.7758941,,MWRA_MassBay_upcast_2017-202205
