20190429_SBNMS
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
Eureka_Manta_2,V7.03,08162383
DATE,TIME,Temp_deg_C,pH_units,SpCond_uS/cm,Depth_m,Chl_ug/l,HDO_mg/l,HDO_%Sat,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV
04/29/19,08:50:20,7.43,8.38,0.3,0.15,45.92,12.06,100.0,-66.2,9.36,0.00,0.2,-0.2
04/29/19,08:50:25,7.43,8.86,0.3,0.15,44.29,12.06,100.0,-93.2,9.29,0.00,0.2,-0.2
04/29/19,08:50:30,7.33,9.17,0.3,0.15,4.51,12.09,100.0,-110.6,9.34,0.00,0.2,-0.2
04/29/19,08:50:35,6.86,6.49,41490,0.43,9.51,10.29,100.0,38.5,9.34,26.26,26550,-0.2
04/29/19,08:50:40,6.79,7.45,49520,0.58,0.72,9.80,98.7,-13.8,9.33,31.92,31690,-0.2
04/29/19,08:50:45,6.78,7.73,49560,0.62,0.83,9.93,99.9,-29.6,9.36,31.95,31720,-0.2
04/29/19,08:50:50,6.78,7.86,49550,4.63,0.89,9.97,100.3,-37.2,9.34,31.94,31710,-0.2
04/29/19,08:50:55,6.75,7.96,49490,10.33,1.34,10.26,103.1,-42.6,9.28,31.90,31670,-0.2
04/29/19,08:51:00,6.59,8.01,49530,15.95,1.88,10.40,104.2,-45.1,9.33,31.91,31700,-0.2
04/29/19,08:51:05,6.26,8.03,49670,21.56,2.59,10.49,104.3,-46.4,9.31,31.97,31780,-0.2
04/29/19,08:51:10,5.74,8.05,49870,27.35,2.58,10.60,104.2,-47.2,9.29,32.05,31920,-0.2
04/29/19,08:51:15,4.94,8.04,50220,32.49,1.14,10.74,103.7,-46.9,9.31,32.20,32140,-0.2
04/29/19,08:51:20,4.77,8.03,50330,35.61,2.26,10.76,103.4,-46.2,9.33,32.25,32210,-0.2
04/29/19,08:51:25,4.80,8.03,50350,33.77,1.43,10.70,103.0,-46.1,9.28,32.27,32220,-0.2
04/29/19,08:51:30,5.15,8.04,50110,28.17,1.11,10.61,102.9,-46.8,9.26,32.15,32070,-0.2
04/29/19,08:51:35,6.16,8.07,49740,21.85,1.44,10.36,102.8,-48.4,9.21,32.01,31830,-0.2
04/29/19,08:51:40,6.48,8.08,49560,15.85,3.20,10.32,103.1,-49.2,9.24,31.91,31710,-0.2
04/29/19,08:51:45,6.74,8.09,49550,10.42,1.43,10.32,103.8,-49.8,9.29,31.94,31710,-0.2
04/29/19,08:51:50,6.76,8.10,49520,5.32,1.06,10.36,104.2,-50.2,9.31,31.92,31690,-0.2
04/29/19,08:51:55,6.80,8.10,49500,0.39,0.91,10.43,105.0,-50.5,9.18,31.91,31680,-0.2
04/29/19,08:52:00,6.66,8.11,5459,0.18,0.31,12.77,105.9,-50.8,9.31,2.94,3494,-0.2
04/29/19,08:52:05,6.22,8.09,66.4,0.17,-0.11,13.14,105.7,-49.6,9.29,0.03,42.5,-0.2
04/29/19,08:52:10,6.13,8.07,48.5,0.18,-0.07,13.10,105.1,-48.8,9.23,0.02,31.0,-0.2
04/29/19,08:52:15,6.04,8.06,42.4,0.18,-0.01,13.06,104.6,-47.9,9.31,0.02,27.1,-0.2
04/29/19,08:52:20,5.97,8.04,39.1,0.18,-0.04,13.03,104.1,-47.3,9.28,0.01,25.0,-0.2
04/29/19,08:52:25,5.89,8.03,35.8,0.19,-0.06,12.95,103.3,-46.3,9.23,0.01,22.9,-0.2
04/29/19,08:52:30,5.84,8.01,34.1,0.18,-0.03,12.85,102.4,-45.4,9.29,0.01,21.8,-0.2
04/29/19,08:52:35,5.85,8.01,32.9,0.18,-0.00,12.81,102.0,-45.1,9.29,0.01,21.0,-0.2
04/29/19,08:52:40,5.81,8.00,31.6,0.17,-0.01,12.76,101.6,-44.7,9.24,0.01,20.2,-0.2
04/29/19,08:52:45,5.79,7.99,31.0,0.18,-0.00,12.74,101.3,-43.9,9.26,0.01,19.8,-0.2
04/29/19,08:52:50,5.79,7.98,30.4,0.17,0.00,12.73,101.3,-43.4,9.26,0.01,19.5,-0.2
04/29/19,08:52:55,5.80,7.97,29.9,0.18,-0.02,12.71,101.1,-43.0,9.24,0.01,19.1,-0.2
04/29/19,08:53:00,5.78,7.96,29.6,0.18,-0.02,12.72,101.1,-42.4,9.28,0.01,18.9,-0.2
04/29/19,08:53:05,5.80,7.96,28.8,0.18,-0.00,12.71,101.1,-42.1,9.23,0.01,18.4,-0.2
04/29/19,08:53:10,5.85,7.95,28.5,0.18,-0.00,12.69,101.1,-41.7,9.24,0.01,18.2,-0.2
04/29/19,08:53:15,5.89,7.94,28.3,0.19,-0.01,12.68,101.2,-41.3,9.28,0.01,18.1,-0.2
04/29/19,08:53:20,5.92,7.94,27.8,0.18,0.00,12.68,101.2,-40.9,9.21,0.01,17.7,-0.2
04/29/19,08:53:25,5.92,7.93,27.6,0.18,-0.01,12.68,101.2,-40.5,9.26,0.01,17.7,-0.2
04/29/19,08:53:30,5.96,7.92,27.7,0.18,0.00,12.66,101.2,-40.1,9.26,0.01,17.7,-0.2
04/29/19,08:53:35,5.93,7.91,27.2,0.19,-0.00,12.67,101.2,-39.7,9.26,0.01,17.4,-0.2
04/29/19,08:53:40,5.92,7.90,27.1,0.19,-0.02,12.68,101.2,-39.1,9.21,0.01,17.3,-0.2
04/29/19,08:53:45,5.93,7.89,27.0,0.18,-0.00,12.67,101.2,-38.5,9.24,0.01,17.3,-0.2
04/29/19,08:53:50,5.96,7.88,26.9,0.18,0.00,12.66,101.2,-38.0,9.26,0.01,17.2,-0.2
04/29/19,08:53:55,5.97,7.87,26.6,0.18,0.01,12.65,101.1,-37.3,9.24,0.01,17.0,-0.2
04/29/19,08:54:00,6.00,7.85,26.6,0.19,0.01,12.64,101.1,-36.2,9.29,0.01,17.0,-0.2
04/29/19,08:54:05,6.01,7.84,26.6,0.18,-0.01,12.64,101.1,-35.7,9.23,0.01,17.0,-0.2
04/29/19,08:54:10,6.03,7.83,26.8,0.19,0.00,12.63,101.1,-35.1,9.24,0.01,17.1,-0.2
04/29/19,08:54:15,6.06,7.82,26.5,0.18,-0.00,12.62,101.1,-34.5,9.24,0.01,16.9,-0.2
04/29/19,08:54:20,6.07,7.81,26.6,0.19,0.01,12.62,101.1,-33.8,9.26,0.01,17.0,-0.2
04/29/19,08:54:25,6.02,7.80,26.8,0.18,0.00,12.63,101.1,-33.3,9.19,0.01,17.1,-0.2
04/29/19,08:54:30,5.99,7.78,26.6,0.18,-0.02,12.64,101.1,-32.6,9.24,0.01,17.0,-0.2
04/29/19,08:54:35,5.97,7.77,26.9,0.18,0.00,12.65,101.1,-31.6,9.24,0.01,17.2,-0.2
04/29/19,08:54:40,5.94,7.76,27.0,0.19,0.03,12.65,101.1,-30.9,9.26,0.01,17.3,-0.2
04/29/19,08:54:45,5.92,7.75,27.3,0.19,0.01,12.66,101.1,-30.5,9.28,0.01,17.5,-0.2
04/29/19,08:54:50,5.93,7.74,27.3,0.19,-0.70,12.66,101.1,-30.0,9.23,0.01,17.4,-0.2
04/29/19,08:54:55,5.97,7.73,27.5,0.19,-0.71,12.64,101.1,-29.6,9.24,0.01,17.6,-0.2
04/29/19,08:55:00,5.98,7.72,27.6,0.18,-0.69,12.64,101.1,-28.8,9.28,0.01,17.7,-0.2
04/29/19,08:55:05,6.03,7.71,27.7,0.18,-1.38,12.63,101.1,-28.6,9.24,0.01,17.7,-0.2
04/29/19,08:55:10,6.05,7.71,27.9,0.19,-0.05,12.62,101.1,-28.5,9.26,0.01,17.8,-0.2
04/29/19,08:55:15,6.12,7.71,27.9,0.18,0.00,12.60,101.1,-28.6,9.28,0.01,17.8,-0.2
04/29/19,08:55:20,6.21,7.72,27.9,0.18,-0.22,12.57,101.1,-28.9,9.23,0.01,17.8,-0.2
04/29/19,08:55:25,6.25,7.71,27.5,0.19,-1.31,12.56,101.1,-28.6,9.26,0.01,17.6,-0.2
04/29/19,08:55:30,6.31,7.71,27.9,0.19,-1.43,12.54,101.1,-28.7,9.21,0.01,17.8,-0.2
04/29/19,08:55:35,6.34,7.71,27.9,0.19,-1.75,12.53,101.1,-28.5,9.23,0.01,17.8,-0.2
04/29/19,08:55:40,6.38,7.70,27.8,0.19,-1.58,12.52,101.1,-28.2,9.23,0.01,17.8,-0.2
04/29/19,08:55:45,6.40,7.70,28.0,0.18,-1.48,12.51,101.1,-27.8,9.21,0.01,17.9,-0.2
04/29/19,08:55:50,6.38,7.69,28.1,0.18,-1.65,12.52,101.1,-27.2,9.26,0.01,17.9,-0.2
04/29/19,08:55:55,6.40,7.68,28.3,0.19,-1.71,12.52,101.1,-26.6,9.26,0.01,18.1,-0.2
04/29/19,08:56:00,6.43,7.67,28.2,0.18,-1.55,12.51,101.2,-26.5,9.24,0.01,18.0,-0.2
04/29/19,08:56:05,6.48,7.67,28.2,0.18,-1.62,12.50,101.2,-26.2,9.21,0.01,18.0,-0.2
04/29/19,08:56:10,6.54,7.67,28.2,0.19,-1.66,12.49,101.2,-26.2,9.26,0.01,18.0,-0.2
04/29/19,08:56:15,6.60,7.67,28.2,0.19,-1.59,12.47,101.3,-26.1,9.24,0.01,18.1,-0.2
04/29/19,08:56:20,6.63,7.66,28.2,0.18,-2.05,12.46,101.3,-25.8,9.23,0.01,18.0,-0.2
04/29/19,08:56:25,6.65,7.66,28.1,0.19,-1.70,12.47,101.4,-25.5,9.21,0.01,18.0,-0.2
04/29/19,08:56:30,6.65,7.65,28.1,0.19,-2.06,12.47,101.4,-25.3,9.24,0.01,17.9,-0.2
04/29/19,08:56:35,6.69,7.65,28.0,0.18,-1.99,12.46,101.4,-25.1,9.21,0.01,17.9,-0.2
04/29/19,08:56:40,6.72,7.65,28.0,0.18,-1.89,12.45,101.4,-25.0,9.21,0.01,17.9,-0.2
04/29/19,08:56:45,6.76,7.64,28.0,0.18,-0.09,12.44,101.4,-24.8,9.14,0.01,17.9,-0.2
04/29/19,08:56:50,6.76,7.64,28.0,0.19,0.00,12.44,101.4,-24.4,9.23,0.01,17.9,-0.2
04/29/19,08:56:55,6.72,7.62,27.8,0.18,-0.06,12.46,101.5,-23.5,9.23,0.01,17.8,-0.2
04/29/19,08:57:00,6.73,7.61,28.1,0.18,-0.00,12.46,101.5,-22.7,9.21,0.01,18.0,-0.2
04/29/19,08:57:05,6.73,7.60,28.0,0.18,0.03,12.46,101.5,-22.6,9.13,0.01,17.9,-0.2
04/29/19,08:57:10,6.75,7.61,27.8,0.19,-2.26,12.45,101.5,-22.8,9.13,0.01,17.7,-0.2
04/29/19,08:57:15,6.79,7.60,27.8,0.18,-0.55,12.43,101.5,-22.3,9.21,0.01,17.8,-0.2
04/29/19,08:57:20,6.78,7.58,27.9,0.19,0.03,12.44,101.4,-21.5,9.23,0.01,17.9,-0.2
04/29/19,08:57:25,6.76,7.58,28.0,0.18,0.01,12.44,101.4,-21.1,9.21,0.01,17.9,-0.2
04/29/19,08:57:30,6.74,7.57,27.9,0.18,-0.03,12.44,101.4,-20.9,9.23,0.01,17.8,-0.2
04/29/19,08:57:35,6.75,7.57,27.9,0.19,-0.02,12.44,101.4,-20.7,9.19,0.01,17.9,-0.2
04/29/19,08:57:40,6.74,7.57,27.9,0.19,0.01,12.44,101.4,-20.8,9.18,0.01,17.8,-0.2
04/29/19,08:57:45,6.74,7.57,27.9,0.19,-0.00,12.43,101.3,-20.8,9.21,0.01,17.8,-0.2
04/29/19,08:57:50,6.79,7.58,27.7,0.19,0.02,12.41,101.3,-21.2,9.21,0.01,17.7,-0.2
04/29/19,08:57:55,6.77,7.58,27.7,0.20,0.00,12.41,101.2,-21.1,9.23,0.01,17.7,-0.2
04/29/19,08:58:00,6.80,7.57,27.7,0.19,-3.04,12.40,101.2,-20.7,9.19,0.01,17.7,-0.3
04/29/19,08:58:05,6.98,7.56,27.6,0.19,-1.96,12.34,101.2,-20.4,9.23,0.01,17.7,-0.2
04/29/19,08:58:10,7.13,7.57,27.7,0.18,0.00,12.29,101.2,-20.8,9.21,0.01,17.7,-0.2
04/29/19,08:58:15,7.15,7.57,27.4,0.19,-2.10,12.28,101.1,-20.7,9.19,0.01,17.5,-0.2
04/29/19,08:58:20,7.09,7.53,27.5,0.19,-0.00,12.30,101.1,-18.4,9.21,0.01,17.6,-0.2
04/29/19,08:58:25,7.16,7.52,27.5,0.19,-0.00,12.28,101.1,-18.2,9.19,0.01,17.6,-0.2
04/29/19,08:58:30,7.35,7.53,27.5,0.18,0.02,12.28,101.6,-18.3,9.21,0.01,17.6,-0.2
04/29/19,08:58:35,7.57,7.54,27.5,0.19,-0.00,12.18,101.4,-18.9,9.16,0.01,17.6,-0.2
04/29/19,08:58:40,7.81,7.54,27.4,0.19,-0.07,12.16,101.8,-18.9,9.21,0.01,17.5,-0.2
04/29/19,08:58:45,8.04,7.51,27.1,0.18,-3.40,12.10,101.8,-17.6,9.21,0.01,17.3,-0.2
04/29/19,08:58:50,8.26,7.50,26.9,0.19,-2.92,12.03,101.8,-17.1,9.18,0.01,17.2,-0.2
04/29/19,08:58:55,8.42,7.44,26.8,0.17,-3.63,11.98,101.7,-13.8,9.09,0.01,17.1,-0.2
04/29/19,08:59:00,8.45,7.37,26.7,0.17,-0.75,11.96,101.7,-9.4,9.16,0.01,17.1,-0.2
04/29/19,08:59:05,8.17,7.31,26.7,0.17,-0.06,12.04,101.6,-6.1,9.13,0.01,17.1,-0.2
04/29/19,08:59:10,7.99,7.25,26.7,0.17,-0.02,12.07,101.4,-3.1,9.23,0.01,17.0,-0.2
04/29/19,08:59:15,8.11,7.22,26.6,0.17,-2.77,12.00,101.2,-0.9,9.19,0.01,17.0,-0.2
04/29/19,08:59:20,7.99,7.16,26.3,0.17,-0.22,12.02,101.0,2.3,9.13,0.01,16.8,-0.2
04/29/19,08:59:25,7.99,7.18,25.9,0.17,-3.45,12.01,100.9,1.1,9.19,0.01,16.6,-0.2
04/29/19,08:59:30,8.22,7.16,25.9,0.17,-3.80,11.94,100.9,1.8,9.18,0.01,16.5,-0.2
04/29/19,08:59:35,8.40,7.16,25.5,0.17,-6.48,11.87,100.8,2.3,9.14,0.01,16.3,-0.2
04/29/19,08:59:40,8.57,7.17,25.1,0.16,-7.35,11.82,100.8,1.6,9.16,0.01,16.0,-0.2
04/29/19,08:59:45,8.69,7.12,24.5,0.15,-4.66,11.79,100.8,4.2,9.16,0.01,15.7,-0.2
04/29/19,08:59:50,8.80,7.14,24.2,0.16,-5.78,11.75,100.7,3.2,9.11,0.01,15.4,-0.2
04/29/19,08:59:55,8.95,7.15,23.8,0.15,-1.27,11.71,100.8,2.8,9.18,0.01,15.2,-0.2
04/29/19,09:00:00,8.93,7.09,23.2,0.15,-4.24,11.72,100.8,5.9,9.19,0.01,14.8,-0.2
04/29/19,09:00:05,8.82,7.07,23.1,0.15,-4.96,11.76,100.8,7.3,9.14,0.01,14.8,-0.2
04/29/19,09:00:10,8.75,7.05,22.8,0.14,-3.17,11.77,100.8,8.5,9.19,0.01,14.6,-0.2
04/29/19,09:00:15,8.66,7.03,22.5,0.14,-3.93,11.80,100.8,9.3,9.16,0.01,14.4,-0.2
04/29/19,09:00:20,8.66,7.01,22.4,0.14,-4.13,11.78,100.7,10.7,9.14,0.01,14.3,-0.2
04/29/19,09:00:25,8.68,7.00,22.1,0.14,-0.32,11.78,100.6,11.1,9.16,0.01,14.1,-0.2
04/29/19,09:00:30,8.71,6.96,21.7,0.14,0.45,11.77,100.7,13.3,9.19,0.01,13.9,-0.2
04/29/19,09:00:35,8.61,6.98,21.7,0.13,0.87,11.80,100.7,12.4,9.14,0.01,13.9,-0.2
04/29/19,09:00:40,8.68,6.97,21.4,0.13,0.42,11.78,100.7,12.6,9.18,0.01,13.6,-0.2
04/29/19,09:00:45,8.81,6.98,20.9,0.13,3.91,11.74,100.7,12.4,9.18,0.01,13.4,-0.2
04/29/19,09:00:50,8.88,6.96,20.7,0.13,4.89,11.72,100.7,13.4,9.13,0.01,13.2,-0.2
04/29/19,09:00:55,8.87,6.91,20.2,0.13,3.52,11.73,100.7,16.1,9.16,0.01,12.9,-0.2
04/29/19,09:01:00,8.86,6.91,19.8,0.13,3.95,11.73,100.7,16.0,9.18,0.01,12.7,-0.2
04/29/19,09:01:05,8.88,6.93,19.6,0.13,4.17,11.72,100.7,14.9,9.13,0.01,12.5,-0.2
04/29/19,09:01:10,8.89,6.91,19.2,0.13,1.97,11.72,100.6,15.7,9.14,0.01,12.2,-0.2
04/29/19,09:01:15,8.86,6.93,18.7,0.12,2.76,11.72,100.6,14.9,9.18,0.01,11.9,-0.2
04/29/19,09:01:20,8.81,6.92,18.3,0.13,2.68,11.74,100.6,15.2,9.14,0.01,11.7,-0.2
04/29/19,09:01:25,8.89,6.93,17.9,0.12,0.58,11.71,100.6,14.7,9.14,0.01,11.4,-0.2
04/29/19,09:01:30,8.82,6.89,17.5,0.11,1.40,11.74,100.6,16.8,9.18,0.01,11.2,-0.2
04/29/19,09:01:35,8.72,6.91,16.9,0.11,1.46,11.76,100.6,16.0,9.09,0.01,10.8,-0.2
04/29/19,09:01:40,8.62,6.92,16.5,0.12,1.18,11.79,100.6,15.4,9.14,0.01,10.6,-0.2
04/29/19,09:01:45,8.32,6.94,16.0,0.12,1.01,11.88,100.6,14.3,9.11,0.00,10.2,-0.2
04/29/19,09:01:50,8.09,7.00,15.9,0.12,0.02,11.94,100.6,11.2,9.11,0.00,10.2,-0.2
04/29/19,09:01:55,8.03,7.03,15.9,0.11,0.02,11.96,100.6,9.1,9.09,0.00,10.2,-0.2
04/29/19,09:02:00,8.01,7.09,16.0,0.12,0.02,11.97,100.6,6.2,9.16,0.00,10.2,-0.2
04/29/19,09:02:05,8.12,7.14,15.7,0.12,0.18,11.94,100.6,3.5,9.11,0.00,10.0,-0.2
04/29/19,09:02:10,8.21,7.14,15.1,0.11,0.21,11.91,100.6,3.3,9.18,0.00,9.7,-0.2
04/29/19,09:02:15,8.31,7.15,14.8,0.12,0.67,11.88,100.6,2.4,9.16,0.00,9.5,-0.2
04/29/19,09:02:20,8.50,7.16,14.6,0.12,0.13,11.83,100.7,1.9,9.13,0.00,9.3,-0.2
04/29/19,09:02:25,8.55,7.16,14.6,0.12,0.11,11.82,100.7,2.1,9.18,0.00,9.4,-0.2
04/29/19,09:02:30,8.58,7.13,14.4,0.13,-0.00,11.81,100.7,3.9,9.16,0.00,9.2,-0.2
04/29/19,09:02:35,8.67,7.15,14.4,0.13,-0.02,11.79,100.7,2.6,9.16,0.00,9.2,-0.2
04/29/19,09:02:40,8.86,7.18,14.4,0.13,-0.00,11.74,100.8,1.0,9.14,0.00,9.2,-0.2
04/29/19,09:02:45,8.95,7.19,14.3,0.13,-0.01,11.71,100.8,0.4,9.13,0.00,9.1,-0.2
04/29/19,09:02:50,9.08,7.22,14.3,0.14,-0.79,11.68,100.8,-1.4,9.09,0.00,9.2,-0.2
04/29/19,09:02:55,9.07,7.22,14.2,0.14,-0.74,11.69,100.8,-1.5,9.18,0.00,9.1,-0.2
04/29/19,09:03:00,9.05,7.24,14.1,0.13,-0.56,11.69,100.8,-2.4,9.18,0.00,9.0,-0.2
04/29/19,09:03:05,9.03,7.26,14.2,0.13,0.01,11.70,100.8,-3.3,9.11,0.00,9.1,-0.2
04/29/19,09:03:10,8.93,7.22,14.2,0.14,0.03,11.73,100.9,-1.4,9.13,0.00,9.1,-0.2
04/29/19,09:03:15,8.80,7.21,14.2,0.14,0.00,11.76,100.8,-0.5,9.14,0.00,9.1,-0.2
04/29/19,09:03:20,8.60,7.16,14.2,0.14,0.00,11.82,100.9,2.1,9.13,0.00,9.1,-0.2
04/29/19,09:03:25,8.36,7.11,14.2,0.14,-0.00,11.89,100.8,5.0,9.18,0.00,9.1,-0.2
04/29/19,09:03:30,8.34,7.18,14.3,0.14,-0.01,11.90,100.8,0.8,9.14,0.00,9.1,-0.2
04/29/19,09:03:35,8.16,7.14,14.2,0.15,-0.00,11.94,100.8,3.4,9.14,0.00,9.1,-0.2
04/29/19,09:03:40,8.09,7.11,14.2,0.15,-0.00,11.96,100.8,5.1,9.16,0.00,9.1,-0.2
04/29/19,09:03:45,8.05,7.13,14.2,0.16,0.02,11.97,100.8,3.8,9.16,0.00,9.1,-0.2
04/29/19,09:03:50,7.98,7.13,14.3,0.14,-0.00,11.99,100.7,3.5,9.11,0.00,9.1,-0.2
04/29/19,09:03:55,7.90,7.14,14.3,0.15,0.00,12.00,100.7,3.4,9.14,0.00,9.1,-0.2
04/29/19,09:04:00,7.85,7.13,14.2,0.15,-0.00,12.02,100.6,3.6,9.13,0.00,9.1,-0.2
