20190603_SBNMS,,,,,,,,,,
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,2193610,,,,,,,,
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
6/3/19,7:33:20,12.61,8.24,0.5,46380,8.57,96.9,0.68,-61.9,9.01
6/3/19,7:33:25,12.53,8.36,0.47,47070,8.53,96.6,0.66,-68.8,9.13
6/3/19,7:33:30,12.51,8.4,0.69,47120,8.54,96.7,0.58,-70.8,9.14
6/3/19,7:33:35,12.5,8.41,0.59,47110,8.6,97.4,0.57,-71.5,9.09
6/3/19,7:33:40,12.5,8.42,0.52,47100,9.09,102.9,0.58,-72.1,9.14
6/3/19,7:33:45,12.48,8.46,2.52,47070,9.2,104.1,0.58,-74.3,9.09
6/3/19,7:33:50,8.06,8.35,8.09,49610,10.05,104.3,1.71,-67.1,9.06
6/3/19,7:33:55,6.26,8.29,13.25,50140,10.19,101.6,2.47,-63.2,9.09
6/3/19,7:34:00,6.2,8.3,17.91,50490,10.1,100.8,2.66,-63.8,9.13
6/3/19,7:34:05,6.21,8.31,22.84,50550,9.99,99.7,2.67,-64.2,9.04
6/3/19,7:34:10,6.04,8.31,27.77,50740,10,99.5,2.5,-64,9.13
6/3/19,7:34:15,5.77,8.29,32.48,50800,10.03,99.1,2.45,-63.2,9.04
6/3/19,7:34:20,5.77,8.29,33.67,50800,9.94,98.2,4,-63.2,8.96
6/3/19,7:34:25,5.74,8.3,34.19,50840,9.86,97.4,2.44,-63.3,9.13
6/3/19,7:34:30,5.72,8.3,34.99,50830,9.86,97.4,3.17,-63.5,9.11
6/3/19,7:34:35,5.73,8.3,34.83,50860,9.85,97.3,4.14,-63.5,9.04
6/3/19,7:34:40,5.74,8.3,33.09,50830,9.83,97.1,3.25,-63.5,9.13
6/3/19,7:34:45,5.93,8.31,26.52,50670,9.78,97,3.51,-64.1,9.06
6/3/19,7:34:50,6.21,8.24,19.79,50540,9.71,96.9,2.68,-60.4,9.04
6/3/19,7:34:55,6.18,8.18,13.13,50440,9.74,97,2.26,-57,9.11
6/3/19,7:35:00,7.6,8.23,7.38,48760,9.5,97.1,3.6,-60.3,9.09
6/3/19,7:35:05,11.55,8.37,2.73,46360,9.49,104.9,0.82,-68.9,9.06
6/3/19,7:35:10,12.5,8.43,0.18,46910,9.79,110.8,0.49,-72.7,9.08
6/3/19,7:35:15,12.29,8.12,0.03,2065,12.19,114.2,-3.41,-55.4,9.03
6/3/19,7:35:20,12.09,7.36,0.03,58,12.21,113.1,-0.29,-13,9.04
6/3/19,7:35:25,12.04,7.63,0.02,39.8,12.17,112.6,0.03,-27.9,9.04
6/3/19,7:35:30,12.04,7.52,0.03,30.2,11.88,109.9,0.05,-22.2,8.99
6/3/19,7:35:35,12.04,7.35,0.02,26.5,11.65,107.8,0.06,-12.8,9.01
6/3/19,7:35:40,12.01,7.21,0.02,24.1,11.57,107,0.05,-4.7,9.06
6/3/19,7:35:45,12.03,7.14,0.03,23.3,11.44,105.8,0.02,-1.2,8.96
6/3/19,7:35:50,12.03,7.04,0.03,22.6,11.25,104,0.07,4.6,9.03
6/3/19,7:35:55,12.06,7,0.01,22.2,11.02,102,0.06,6.7,9.03
6/3/19,7:36:00,12.06,6.89,0.01,22,10.96,101.4,0.04,12.4,9.06
6/3/19,7:36:05,12.08,6.86,0.01,21.9,10.87,100.7,0.06,12.8,9.06
6/3/19,7:36:10,12.08,6.8,0.01,21.7,10.82,100.2,0.06,8.2,9.08
6/3/19,7:36:15,12.06,6.72,0.01,21.5,10.8,99.9,0.02,17.8,9.01
6/3/19,7:36:20,12.08,6.82,0,21.4,10.77,99.7,0.05,18.2,8.99
6/3/19,7:36:25,12.1,6.75,0.02,21.4,10.76,99.7,0.08,14.2,9.06
6/3/19,7:36:30,12.12,6.5,0.02,21.3,10.75,99.6,-1.4,32.5,8.94
6/3/19,7:36:35,12.14,6.56,0.01,21.3,10.73,99.5,-0.63,31.1,9.04
6/3/19,7:36:40,12.17,6.54,0.01,21.2,10.71,99.4,-1.46,34.1,9.04
6/3/19,7:36:45,12.18,6.72,0.01,21.4,10.71,99.4,0.05,22.4,9.06
6/3/19,7:36:50,12.25,6.63,0.01,21.3,10.68,99.3,-1.36,24.8,9.04
6/3/19,7:36:55,12.32,6.56,0.01,21.3,10.66,99.2,-1.46,29.3,9.01
6/3/19,7:37:00,12.33,6.52,0,21.2,10.66,99.2,-1.41,22.7,9.08
6/3/19,7:37:05,12.35,6.33,0,21.1,10.65,99.2,-1.51,40.8,9.06
6/3/19,7:37:10,12.32,6.57,0,21.1,10.65,99.2,-0.45,39.9,9.06
6/3/19,7:37:15,12.46,6.47,0,21.1,10.62,99.2,-1.59,35.2,9.03
6/3/19,7:37:20,12.56,6.71,0,21,10.59,99.2,-1.6,22.3,9.03
6/3/19,7:37:25,12.65,6.59,0,20.9,10.58,99.2,-1.56,28.8,9.06
6/3/19,7:37:30,12.7,6.7,0,20.8,10.56,99.2,0.02,22.6,9.08
6/3/19,7:37:35,12.76,6.7,0,20.7,10.55,99.2,-0.03,23,9.06
6/3/19,7:37:40,12.79,6.35,0,20.5,10.55,99.2,0.06,41.7,8.99
6/3/19,7:37:45,12.82,6.52,0,20.5,10.54,99.2,0.04,32.4,9.06
6/3/19,7:37:50,12.85,6.28,0,20.4,10.54,99.3,-1.31,45.8,9.01
6/3/19,7:37:55,12.9,6.43,0,20.3,10.52,99.2,0.02,37.5,8.96
6/3/19,7:38:00,12.92,6.41,0,20.3,10.52,99.2,-1.31,38.4,9.03
6/3/19,7:38:05,13.04,6.51,0,20.2,10.49,99.3,-1.54,33,9.06
6/3/19,7:38:10,13.1,6.48,0,19.9,10.47,99.2,-1.62,34.9,9.06
6/3/19,7:38:15,13.26,6.41,0,19.8,10.44,99.2,-1.42,38.7,9.04
6/3/19,7:38:20,13.29,6.24,0,19.6,10.43,99.2,-1.42,47.8,9.03
6/3/19,7:38:25,13.31,6.31,0,19.6,10.43,99.3,-1.23,43.9,9.03
6/3/19,7:38:30,13.31,6.16,0,27.4,10.43,99.3,0.06,52,8.96
6/3/19,7:38:35,13.28,6.15,0,29.2,10.43,99.3,0.06,52.5,8.96
6/3/19,7:38:40,13.26,6.03,0,28.1,10.44,99.3,0.02,59.4,8.98
6/3/19,7:38:45,13.28,6.05,0,26.6,10.44,99.3,0.04,58.2,8.99
6/3/19,7:38:50,13.27,6.17,0,26,10.44,99.3,0,51.8,9.01
6/3/19,7:38:55,13.21,6.02,0,26,10.45,99.3,0.05,59.4,8.99
