20190604_SBNMS
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
06/04/19,06:31:50,15.46,7.96,0.11,0.1,9.97,99.4,0.15,-47.2,8.86
06/04/19,06:31:55,15.47,8.96,0.11,0.1,9.97,99.5,0.19,-103.2,8.89
06/04/19,06:32:00,15.47,8.97,0.11,0.1,9.97,99.5,0.16,-103.4,8.91
06/04/19,06:32:05,15.48,8.56,0.11,0.1,9.97,99.5,0.19,-80.6,8.83
Eureka_Manta_2,V7.04,02193610
DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V
06/04/19,06:55:00,11.57,8.15,0.73,41760,8.99,97.4,0.80,-56.5,8.91
06/04/19,06:55:05,11.57,8.29,0.81,41770,9.01,97.6,0.80,-64.5,8.84
06/04/19,06:55:10,11.54,8.34,2.40,41650,9.09,98.4,0.91,-67.4,8.93
06/04/19,06:55:15,10.75,8.39,8.95,43000,9.69,103.7,2.04,-70.0,8.89
06/04/19,06:55:20,6.88,8.37,14.84,44760,10.23,101.0,5.06,-67.7,8.84
06/04/19,06:55:25,5.50,8.29,20.70,45300,10.35,99.0,0.59,-62.8,8.89
06/04/19,06:55:30,5.34,8.28,26.54,45340,10.31,98.3,0.58,-62.4,8.88
06/04/19,06:55:35,5.32,8.28,31.88,45340,10.22,97.4,0.77,-62.6,8.66
06/04/19,06:55:40,5.32,8.28,32.50,45340,10.18,97.0,1.02,-62.5,8.84
06/04/19,06:55:45,5.33,8.28,32.37,45330,10.17,96.9,0.69,-62.6,8.83
06/04/19,06:55:50,5.32,8.29,29.58,45350,10.13,96.5,0.68,-62.7,8.76
06/04/19,06:55:55,5.34,8.29,23.80,45320,10.11,96.4,0.64,-62.9,8.86
06/04/19,06:56:00,5.66,8.30,18.31,45090,10.10,96.9,0.86,-63.3,8.89
