DATE,TIME,Temp_deg_C,pH_units,Depth_m,SpCond_uS/cm,HDO_mg/l,HDO_%Sat,Chl_ug/l,pH_mV,Int_Batt_V,Salinity_PSS,TDS_mg/l,ORP_mV,Timestamp,TIME_BIN,lat,lon,ele
02/23/19,12:34:00,3.49,8.17,1.06,51010.0,10.29,96.1,1.02,-53.5,8.63,32.54,32640,-0.1,2019-02-23 12:34:00,2019-02-23-12-34,42.029937235638499,-70.532369473949075,3.02
02/23/19,12:35:00,3.48,8.16,28.16,50910.0,11.10,103.6,4.10,-52.9,8.61,32.47,32580,-0.2,2019-02-23 12:35:00,2019-02-23-12-35,42.031812518835068,-70.530107114464045,2.54
02/23/19,12:36:00,3.49,8.16,28.20,50940.0,11.11,103.7,2.27,-53.1,8.63,32.49,32600,-0.3,2019-02-23 12:36:00,2019-02-23-12-36,42.033566515892744,-70.527632189914584,1.58
03/19/19,11:11:00,3.56,8.29,16.93,50950.0,10.85,101.5,1.33,-60.0,8.64,32.51,32610,-0.2,2019-03-19 11:11:00,2019-03-19-11-11,42.202538391575217,-70.714134145528078,9.27
03/19/19,11:11:05,3.55,8.28,12.39,51000.0,10.90,102.0,0.94,-59.6,8.81,32.55,32640,-0.2,2019-03-19 11:11:05,2019-03-19-11-11,42.202538391575217,-70.714134145528078,9.27
03/19/19,11:11:10,3.64,8.27,7.66,50960.0,10.91,102.3,0.68,-59.1,8.86,32.53,32610,-0.2,2019-03-19 11:11:10,2019-03-19-11-11,42.202538391575217,-70.714134145528078,9.27
03/19/19,11:11:15,3.67,8.26,2.77,50880.0,10.92,102.4,0.57,-58.7,8.84,32.48,32560,-0.2,2019-03-19 11:11:15,2019-03-19-11-11,42.202538391575217,-70.714134145528078,9.27
03/19/19,13:29:45,3.26,8.59,0.61,51580.0,9.09,84.7,0.49,-76.6,8.76,32.90,33010,-0.3,2019-03-19 13:29:45,2019-03-19-13-29,42.403455544263124,-70.428758673369884,5.42
03/19/19,13:29:50,3.25,8.47,0.71,51530.0,9.00,83.8,0.74,-70.0,8.83,32.87,32980,-0.2,2019-03-19 13:29:50,2019-03-19-13-29,42.403455544263124,-70.428758673369884,5.42
03/19/19,13:29:55,3.24,8.39,3.13,51420.0,9.30,86.5,0.82,-65.7,8.46,32.79,32910,-0.3,2019-03-19 13:29:55,2019-03-19-13-29,42.403455544263124,-70.428758673369884,5.42
03/19/19,13:30:00,3.13,8.33,8.48,51450.0,9.53,88.4,0.68,-62.5,8.86,32.79,32920,-0.3,2019-03-19 13:30:00,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:05,3.13,8.30,13.71,51330.0,9.64,89.3,0.98,-60.6,8.76,32.70,32850,-0.2,2019-03-19 13:30:05,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:10,3.10,8.28,17.92,51340.0,9.81,90.9,1.57,-59.2,8.88,32.71,32850,-0.2,2019-03-19 13:30:10,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:15,3.11,8.26,16.86,51310.0,9.95,92.2,1.63,-58.4,8.93,32.69,32830,-0.2,2019-03-19 13:30:15,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:20,3.11,8.25,16.26,51290.0,10.01,92.8,1.59,-57.6,8.76,32.67,32820,-0.2,2019-03-19 13:30:20,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:25,3.12,8.24,13.05,51300.0,10.20,94.5,1.10,-57.1,8.88,32.69,32830,-0.3,2019-03-19 13:30:25,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:30,3.11,8.23,11.25,51280.0,10.42,96.5,1.01,-56.6,8.93,32.67,32820,-0.3,2019-03-19 13:30:30,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:35,3.13,8.22,8.44,51270.0,10.49,97.2,0.84,-56.3,8.98,32.66,32810,-0.3,2019-03-19 13:30:35,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:40,3.18,8.22,4.92,51270.0,10.61,98.5,0.61,-55.9,8.74,32.67,32810,-0.3,2019-03-19 13:30:40,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:30:45,3.24,8.21,1.07,51230.0,10.69,99.4,0.52,-55.5,8.89,32.65,32780,-0.3,2019-03-19 13:30:45,2019-03-19-13-30,42.401728453114629,-70.426674513146281,5.42
03/19/19,13:32:10,3.46,8.18,0.59,45770.0,11.44,104.1,4.59,-54.2,8.86,28.87,29290,-0.3,2019-03-19 13:32:10,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:15,3.26,8.18,0.54,51120.0,10.68,99.3,0.30,-53.8,8.73,32.58,32710,-0.3,2019-03-19 13:32:15,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:20,3.24,8.18,0.68,51110.0,10.73,99.6,0.40,-53.9,8.93,32.57,32710,-0.3,2019-03-19 13:32:20,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:25,3.12,8.18,6.30,51120.0,10.80,100.0,0.72,-53.9,8.86,32.56,32720,-0.2,2019-03-19 13:32:25,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:30,3.10,8.18,10.68,51160.0,10.86,100.5,1.13,-53.9,8.81,32.59,32740,-0.3,2019-03-19 13:32:30,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:35,3.10,8.18,16.77,51180.0,10.92,101.0,1.52,-53.8,8.69,32.60,32760,-0.3,2019-03-19 13:32:35,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:40,3.10,8.18,22.95,51200.0,10.96,101.5,1.75,-53.9,8.71,32.61,32770,-0.3,2019-03-19 13:32:40,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:45,3.10,8.18,26.03,51220.0,10.98,101.6,1.90,-53.8,8.73,32.63,32780,-0.2,2019-03-19 13:32:45,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
03/19/19,13:32:50,3.10,8.18,26.05,51240.0,11.00,101.9,1.83,-53.8,8.64,32.64,32790,-0.2,2019-03-19 13:32:50,2019-03-19-13-32,42.398909786716104,-70.421953909099102,11.67
